00	00	00	00	00	00	00	00	00	00	00	00	00
OCR++:	0	0.0	1.0	0.72	1	0	0	65.4231	100.215	53.0092	0	0
A	0	0.0	1.0	0.72	1	0	0	65.4231	157.672	10.358	0	0
Robust	0	0.0	1.0	0.72	1	0	0	65.4231	171.616	43.5551	0	0
Framework	0	0.0	1.0	0.72	1	0	0	65.4231	218.758	72.3622	0	0
For	0	0.0	1.0	0.72	1	0	0	65.4231	294.706	21.9497	0	0
Information	0	0.0	1.0	0.72	1	0	0	65.4231	320.243	74.5572	0	0
Extraction	0	0.0	1.0	0.72	1	0	0	65.4231	398.386	65.3469	0	0
from	0	0.0	1.0	0.72	0	0	0	65.4231	467.32	30.0123	0	0
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
Scholarly	0	0.0	0	0.72	1	0	0	81.3631	243.984	58.1882	0	0
Articles	0	0.0	0	0.72	1	0	0	81.3631	305.759	47.8015	0	0
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
Mayank	0	0.0	0	0.6	1	0	0	105.866	136.457	42.5127	0	0
Singh,	0	0.0	0	0.6	1	1	0	105.866	181.958	32.2312	0	0
Barnopriyo	0	0.0	0	0.6	1	0	0	105.866	217.179	58.6403	0	0
Barua,	0	0.0	0	0.6	1	1	0	105.866	278.808	34.8733	0	0
Priyank	0	0.0	0	0.6	1	0	0	105.866	316.67	41.1857	0	0
Palod,	0	0.0	0	0.6	1	1	0	105.866	360.844	32.0997	0	0
Manvi	0	0.0	0	0.6	1	0	0	105.866	395.933	32.7333	0	0
Garg,	0	0.0	0	0.6	1	1	0	105.866	431.655	29.4337	0	0
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
Sidhartha	0	0.01	0	0.6	1	0	0	119.813	76.228	51.1563	0	0
Satapathy,	0	0.01	0	0.6	1	1	0	119.813	130.373	53.9658	0	0
Samuel	0	0.01	0	0.6	1	0	0	119.813	187.328	37.8621	0	0
Bushi,	0	0.01	0	0.6	1	1	0	119.813	228.179	32.2312	0	0
Kumar	0	0.01	0	0.6	1	0	0	119.813	263.399	37.0133	0	0
Ayush,	0	0.01	0	0.6	1	1	0	119.813	303.401	34.6581	0	0
Krishna	0	0.01	0	0.6	1	0	0	119.813	341.048	41.8552	0	0
Sai	0	0.01	0	0.6	1	0	0	119.813	385.892	15.9482	0	0
Rohith,	0	0.01	0	0.6	1	1	0	119.813	404.829	38.1969	0	0
Tulasi	0	0.01	0	0.6	1	0	0	119.813	446.014	30.7966	0	0
Gamidi,	0	0.01	0	0.6	1	1	0	119.813	479.8	41.5204	0	0
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
Pawan	0	0.01	0	0.6	1	0	0	133.761	199.867	34.419	0	0
Goyal	0	0.01	0	0.6	1	0	0	133.761	237.275	30.5575	0	0
and	0	0.01	0	0.6	0	0	1	133.761	270.821	19.2718	0	0
Animesh	0	0.01	0	0.6	1	0	0	133.761	293.082	45.1667	0	0
Mukherjee	0	0.01	0	0.6	1	0	0	133.761	341.237	56.4405	0	0
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
Department	0	0.01	0	0.6	1	0	0	147.852	177.751	56.4405	0	0
of	0	0.01	0	0.6	0	0	1	147.852	237.18	9.95868	0	0
Computer	0	0.01	0	0.6	1	0	0	147.852	250.128	47.8208	0	0
Science	0	0.01	0	0.6	1	0	0	147.852	300.937	37.1807	0	0
and	0	0.01	0	0.6	0	0	1	147.852	341.107	17.2633	0	0
Engineering	0	0.01	0	0.6	1	0	0	147.852	361.359	58.437	0	0
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
Indian	0	0.01	0	0.6	1	0	0	161.799	170.494	30.5455	0	0
Institute	0	0.01	0	0.6	1	0	0	161.799	204.028	39.1891	0	0
of	0	0.01	0	0.6	0	0	1	161.799	246.206	9.95868	0	0
Technology,	0	0.01	0	0.6	1	1	0	161.799	259.154	58.4848	0	0
Kharagpur,	0	0.01	0	0.6	1	1	0	161.799	320.627	53.631	0	0
WB,	0	0.01	0	0.6	1	1	0	161.799	377.247	22.2486	0	0
India	0	0.01	0	0.6	1	0	0	161.799	402.485	24.5679	0	0
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
mayank.singh@cse.iitkgp.ernet.in	0	0.01	0	0.6	0	0	0	175.747	217.226	163.093	0	0
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00
